1,Rooster,92.44,11,34.05,
2,Horse,67.24,6,72.94,
3,Goat,91.18,14,19.05,
4,Duck,79.75,3,37.63,
5,Sheep,56.17,6,66.13,
6,Mule,77.5,6,89.21,
7,Goat,62.65,7,36.71,
8,Cow,92.89,16,92.9,
9,Rooster,40.69,5,32.44,
10,Rooster,80.56,13,62.67,
11,Duck,73.63,9,109.52,
12,Turkey,89.47,2,101.44,
13,Cow,64.54,5,129.48,
14,Donkey,47.26,19,82.86,
15,Mule,32.95,15,94.52,
16,Pig,61.84,14,57.82,
17,Horse,31.6,11,84.59,
18,Donkey,55.81,2,63.48,
19,Cow,81.64,6,61.98,
20,Goat,62.83,4,105.48,
21,Pig,71.29,15,119.56,
22,Goat,76.87,10,33.01,
23,Goat,32.59,5,76.52,
24,Mule,32.05,6,67.28,
25,Horse,78.31,2,114.94,
26,Chicken,46.36,6,37.28,
27,Chicken,87.22,12,42.25,
28,Rooster,18.01,2,89.21,
29,Sheep,21.52,18,81.25,
30,Duck,43.84,14,81.82,
31,Mule,91.63,10,33.82,
32,Chicken,73.09,12,129.71,
33,Chicken,10.36,17,65.55,
34,Chicken,53.2,19,126.36,
35,Rabbit,92.44,11,106.06,
36,Horse,91.45,15,30.24,
37,Rooster,69.94,14,85.75,
38,Sheep,47.53,5,18.01,
39,Chicken,99.01,5,36.48,
40,Rabbit,22.33,5,39.48,
41,Rooster,43.57,19,119.56,
42,Pig,96.85,5,37.74,
43,Pig,78.04,19,117.83,
44,Horse,19.18,8,20.9,
45,Donkey,15.58,13,34.28,
46,Goat,27.01,11,114.71,
47,Duck,15.94,2,81.71,
48,Duck,60.67,16,95.9,
49,Cow,79.48,19,31.98,
50,Turkey,56.26,8,127.63,
51,Sheep,69.58,5,88.86,
52,Cow,61.75,14,117.71,
53,Rooster,71.92,9,110.21,
54,Rooster,94.15,14,103.29,
55,Rooster,16.48,14,79.86,
56,Mule,51.94,12,122.21,
57,Mule,91.63,3,94.17,
58,Horse,46,2,20.67,
59,Rabbit,60.94,2,76.75,
60,Rabbit,15.85,9,71.32,
61,Horse,25.03,13,128.9,
62,Rabbit,40.24,3,68.09,
63,Cow,80.29,8,61.28,
64,Goat,97.3,7,37.51,
65,Pig,76.42,6,90.59,
66,Rabbit,30.52,2,119.9,
67,Sheep,17.02,9,89.44,
68,Mule,28.18,10,44.21,
69,Rooster,21.88,12,110.56,
70,Cow,12.61,7,82.52,
71,Sheep,67.87,7,62.9,
72,Horse,10,12,37.98,
73,Rabbit,25.84,17,41.9,
74,Cow,31.87,4,119.67,
75,Rooster,92.71,18,34.98,
76,Horse,43.39,15,112.75,
77,Duck,41.5,13,93.48,
78,Donkey,36.55,12,78.13,
79,Rabbit,94.24,19,45.01,
80,Donkey,91.45,10,18.71,
81,Pig,68.14,6,112.17,
82,Horse,76.6,3,121.06,
83,Goat,98.74,3,30.82,
84,Pig,28.18,7,40.05,
85,Cow,40.87,6,88.98,
86,Rabbit,86.23,5,48.01,
87,Goat,21.79,11,64.4,
88,Cow,40.42,16,69.71,
89,Cow,46.9,13,82.17,
90,Sheep,77.5,10,34.17,
91,Chicken,93.25,13,67.05,
92,Mule,39.07,2,59.78,
93,Turkey,64.18,2,91.29,
94,Pig,27.91,18,123.6,
95,Turkey,84.34,8,23.78,
96,Donkey,24.58,18,73.29,
97,Cow,91.27,9,24.13,
98,Horse,92.8,12,26.32,
99,Horse,62.56,18,93.59,
100,Mule,32.86,3,81.71,
